"Hotel","Provider","Review_Count","Free_Wifi","Breakfast_Included","Swimming_Pool","Free_Parking","Website","Special_Offer","Restaurant","links","Price_AMD","Price_USD","overall_rating","address"
"14th Floor Hotel","Expedia.com",77,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d2038096-Reviews-14th_Floor_Hotel-Yerevan.html",27291,56," 4.5 ","Amiryan str. 4/6, Yerevan 0010, Armenia"
"Olympia Hotel","Booking.com",100,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d308340-Reviews-Olympia_Hotel-Yerevan.html",24333,50," 4.5 ","Barbyusi str. 64, Yerevan 0028, Armenia"
"Komitas Avenue Hostel and Guest House","Booking.com",30,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12494833-Reviews-Komitas_Avenue_Hostel_and_Guest_House-Yerevan.html",7908,16," 5.0 ","Komitas ave 51/1, Yerevan 0014, Armenia"
"Europe Hotel","Booking.com",195,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d1447581-Reviews-Europe_Hotel-Yerevan.html",35417,73," 4.0 ","Anrapyetutsyan str. 38, Yerevan 0010, Armenia"
"Cascade Hotel","Expedia.com",85,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d6213513-Reviews-Cascade_Hotel-Yerevan.html",26906,56," 4.5 ","Zarobyan YA. str. 10/10, Yerevan 0009, Armenia"
"Ani Plaza Hotel","Booking.com",429,1,0,1,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d308331-Reviews-Ani_Plaza_Hotel-Yerevan.html",20040,41,NA,NA
"Sochi Palace Hotel","Booking.com",74,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d4163416-Reviews-Sochi_Palace_Hotel-Yerevan.html",11553,24," 4.0 ","Jrvej Qochinyan 13 / 13, Yerevan 0089, Armenia"
"One Way Hostel Tumanyan","Booking.com",58,1,1,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d4406568-Reviews-One_Way_Hostel_Tumanyan-Yerevan.html",11000,23," 4.5 ","Tumanyan O. str. 41 | 5th Floor, Yerevan 0002, Armenia"
"Areve Residence Boutique Hotel","Expedia.com",23,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12135475-Reviews-Areve_Residence_Boutique_Hotel-Yerevan.html",24078,50," 4.5 ","16, 13 street, Nork Marash | Nork-Marash, Yerevan 0047, Armenia"
"Classic Hostel Yervan","Booking.com",15,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7923624-Reviews-Classic_Hostel_Yervan-Yerevan.html",10714,22," 4.5 ","Home 20 Kiyevyan str., Yerevan 0028, Armenia"
