"Hotel","Provider","Review_Count","Free_Wifi","Breakfast_Included","Swimming_Pool","Free_Parking","Website","Special_Offer","Restaurant","links","Price_AMD","Price_USD","overall_rating","address"
"My Apartments Yerevan","Expedia.com",7,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12288288-Reviews-My_Apartments_Yerevan-Yerevan.html",22652,47," 4.0 ","Abovyan str. 34, Yerevan 0009, Armenia"
"Rafael Hostel","Booking.com",21,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10269272-Reviews-Rafael_Hostel-Yerevan.html",2916,6," 4.0 ","3 Teryan st., Apt. 31, Yerevan 0010, Armenia"
"Villa Rosa","Expedia.com",14,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d6215394-Reviews-Villa_Rosa-Yerevan.html",8083,17," 4.0 ","James Bryce St., 13, Yerevan 0019, Armenia"
"Park Avenue","Booking.com",9,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d6196957-Reviews-Park_Avenue-Yerevan.html",15417,32," 4.0 ","Tevosyana St., 21/5, Yerevan, Armenia"
"4Guest Hotel","Agoda.com",2,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13485222-Reviews-4Guest_Hotel-Yerevan.html",12860,27,NA,NA
"5 Rooms","Booking.com",3,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12916039-Reviews-5_Rooms-Yerevan.html",19158,40," 4.5 ","21 Gevorg Kochar Street, Yerevan 0009, Armenia"
"Apri Hostel","Booking.com",2,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13493137-Reviews-Apri_Hostel-Yerevan.html",9825,20," 5.0 ","prospekt Marshala Bagramyana 3a | проспект Маршала Баграмяна 3а, Yerevan 0019, Armenia"
"Kesabella Touristic House","Expedia.com",4,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7059740-Reviews-Kesabella_Touristic_House-Yerevan.html",12125,25," 4.5 ","Yerevanian St., 3, Yerevan 0088, Armenia"
"Bien Hotel","Booking.com",2,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d14029725-Reviews-Bien_Hotel-Yerevan.html",22500,46," 5.0 ","Ayasa str. 72/1, Yerevan 0082, Armenia "
"FlatsInYerevan","Booking.com",12,1,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7179599-Reviews-FlatsInYerevan-Yerevan.html",19167,40," 4.5 ","Vardanantsa str. 5A, Yerevan 0010, Armenia "
"Holiday Hotel & Hostel By Picnic","Agoda.com",4,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10515454-Reviews-Holiday_Hotel_Hostel_By_Picnic-Yerevan.html",15254,32," 4.5 ","Yekmalyan str. 1, Yerevan 0002, Armenia"
"Guest House 1","Booking.com",2,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12928426-Reviews-Guest_House_1-Yerevan.html",12492,26," 5.0 ","7.Sayat Nova str. 23/28, Yerevan 0060, Armenia"
"Mini Hostel Tigranyan 5","Booking.com",4,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10454255-Reviews-Mini_Hostel_Tigranyan_5-Yerevan.html",9790,20," 5.0 ","Tigranyan 5, 38 | 1st Floor, Yerevan 0032, Armenia"
"Prime Hostel Domino","Booking.com",17,1,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10309061-Reviews-Prime_Hostel_Domino-Yerevan.html",11242,23," 3.5 ","Nalbandyan str. 31, Yerevan 0010, Armenia"
"Radiance Hostel and Tours","Booking.com",2,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13495955-Reviews-Radiance_Hostel_and_Tours-Yerevan.html",6658,14," 5.0 ","Mher Mkrtchyan Street 01, Yerevan 0010, Armenia"
"Freedom Armenia","Agoda.com",2,1,1,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13085428-Reviews-Freedom_Armenia-Yerevan.html",20040,41," 5.0 ","31 Moskovyan pokhoc, Yerevan 0001, Armenia"
"Hotel Lilia Yerevan","Booking.com",7,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12011121-Reviews-Hotel_Lilia_Yerevan-Yerevan.html",23192,48," 4.5 ","Mashtots St.,14/4, Yerevan 0015, Armenia"
"Hostel Out Of Dreams","Booking.com",2,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12394042-Reviews-Hostel_Out_Of_Dreams-Yerevan.html",9890,20," 4.5 ","Tumanyan O. str. 27, Yerevan 0002, Armenia"
"Cherry Hotel","Booking.com",3,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d8356690-Reviews-Cherry_Hotel-Yerevan.html",12000,25," 4.0 ","Leningradyan Street 25, Yerevan 0099, Armenia"
"Balcon Boutique Hotel","Booking.com",6,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12462488-Reviews-Balcon_Boutique_Hotel-Yerevan.html",24992,52," 3.5 ","Amiryan str. 8, Yerevan 0010, Armenia"
"Aurora Hotel & Hostel","Agoda.com",1,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d11668603-Reviews-Aurora_Hotel_Hostel-Yerevan.html",21183,44," 5.0 ","Aygestan St., 9/8, Yerevan 0011, Armenia"
"ApartHotel Arshakunyants","Agoda.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d11622406-Reviews-ApartHotel_Arshakunyants-Yerevan.html",13332,28," 5.0 ","Arshakunyats ave 11, Yerevan 0023, Armenia"
"Hotel For You","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12504246-Reviews-Hotel_For_You-Yerevan.html",12492,26," 5.0 ","Kalents street 27, Yerevan 0010, Armenia"
"Guest House Komitas","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13085144-Reviews-Guest_House_Komitas-Yerevan.html",5825,12," 5.0 ","Kristapor Street 61, Yerevan 0018, Armenia"
"The Rooms Hostel Yerevan","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13854775-Reviews-The_Rooms_Hostel_Yerevan-Yerevan.html",11992,25," 5.0 ","53 Pavstos Buzand Street, Yerevan 0010, Armenia "
"Globus hostel &Tours","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13814183-Reviews-Globus_hostel_Tours-Yerevan.html",4492,9," 5.0 ","Tumanyan O. str. 10, Yerevan 0001, Armenia "
"Manand Hotel","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d9794631-Reviews-Manand_Hotel-Yerevan.html",20000,41," 5.0 ","Paronyana str. 15, Yerevan 0015, Armenia"
"Comfort Hotel","Booking.com",7,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12600458-Reviews-Comfort_Hotel-Yerevan.html",19158,40," 3.5 ","Khorenatsi 3rd d/st, Yerevan 0025, Armenia"
"Hostel Glass Tower","Booking.com",3,1,1,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10151429-Reviews-Hostel_Glass_Tower-Yerevan.html",22167,46," 3.5 ","Sayat Novy str. 33 | Apartment 82, Yerevan 0001, Armenia"
"Tsghotner","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d9771458-Reviews-Tsghotner-Yerevan.html",29167,60," 5.0 ","Zavaryan str. 97, Yerevan 0070, Armenia"
"Ani Hostel","Booking.com",5,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13295220-Reviews-Ani_Hostel-Yerevan.html",8324,17," 3.5 ","Tumanyan O. str. 38, Yerevan 0002, Armenia"
"Caucasus Wildlife Refuge","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7806536-Reviews-Caucasus_Wildlife_Refuge-Yerevan.html",25000,52," 5.0 ","Khanjian 47/1, apt 12, Yerevan 0001, Armenia"
"Moscow House Hotel","Booking.com",2,1,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d1236230-Reviews-Moscow_House_Hotel-Yerevan.html",19833,41," 4.0 ","7 Argishti Str, Yerevan 3750037, Armenia"
"Thailand Centre","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d14929193-Reviews-Thailand_Centre-Yerevan.html",5992,12," 4.0 ","Kochar Yervand str. 19/6, Yerevan 0070, Armenia"
"Guest House on Baghramyan","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12500758-Reviews-Guest_House_on_Baghramyan-Yerevan.html",8325,17,NA,NA
"Art Guesthouse Yerevan","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12269676-Reviews-Art_Guesthouse_Yerevan-Yerevan.html",8742,18," 4.0 ","Bagramyan Marshal ave 57, Yerevan 0033, Armenia"
"Hotel Ritzar","Booking.com",2,0,0,1,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d6857101-Reviews-Hotel_Ritzar-Yerevan.html",16667,34," 3.5 ","Myasnikyan Side Street, Yerevan 0100, Armenia "
"Argavand Hotel & Restaurant Complex","Booking.com",2,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7930468-Reviews-Argavand_Hotel_Restaurant_Complex-Yerevan.html",6667,14," 3.5 ","Str. Tsovakal Isakov 81/4, Yerevan 0082, Armenia"
"Gyumri Hotel","Booking.com",2,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d4288842-Reviews-Gyumri_Hotel-Yerevan.html",15000,31," 3.5 ","Lusinjan St., 1 | Kilikya, Yerevan 0081, Armenia "
"Cross Health Center","Expedia.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d6537761-Reviews-Cross_Health_Center-Yerevan.html",21825,45," 3.0 ","Ashtaraki Highway 50-1, Yerevan 0088, Armenia"
"Shat LAV Hostel","Booking.com",1,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12690023-Reviews-Shat_LAV_Hostel-Yerevan.html",10742,22," 3.0 ","29/1 Tigran Mets Avenue, Yerevan 0070, Armenia"
"White House Hotel","Booking.com",1,1,0,0,0,0,0,1,"https://www.tripadvisor.com/Hotel_Review-g293932-d3640491-Reviews-White_House_Hotel-Yerevan.html",18182,38," 3.0 ","29 Ayvazovskii | Nor Aresh, Yerevan 350720, Armenia "
"Full House Hostel","Expedia.com",0,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12880527-Reviews-Full_House_Hostel-Yerevan.html",9700,20,"","Paronyana str. 28, Yerevan 0015, Armenia"
"Paronyan Hostel","Booking.com",0,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12669770-Reviews-Paronyan_Hostel-Yerevan.html",6658,14,"","Paronyana str. 16, Yerevan 0033, Armenia"
"VAN Hotel","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d9464494-Reviews-VAN_Hotel-Yerevan.html",21667,45," 2.0 ","Tumanyan O. str. 23/1, Yerevan 0002, Armenia"
"Castel Dghyak Hotel","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7726699-Reviews-Castel_Dghyak_Hotel-Yerevan.html",15000,31,"","Acharyan str. 34, Yerevan 0040, Armenia"
"Grant Villa","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13284143-Reviews-Grant_Villa-Yerevan.html",21990,45,"","House 28 Aygyestan 9 str., Yerevan 0025, Armenia"
"Tatev Apartments","Agoda.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12518196-Reviews-Tatev_Apartments-Yerevan.html",13332,28," 5.0 ","Marshala Bagramyana St., 12, 1st Line, Yerevan 0063, Armenia"
"Country House Gyulbenkyan 10","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12700891-Reviews-Country_House_Gyulbenkyan_10-Yerevan.html",23325,48,"","Gyulbyekyan str. 10, Yerevan 0019, Armenia "
"Sil Plaza Hotel","Booking.com",2,1,0,1,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d3372383-Reviews-Sil_Plaza_Hotel-Yerevan.html",25000,52," 3.0 ","Nar-Dos str. 2, Yerevan 0018, Armenia "
"Classy&Cozy Hostel","Booking.com",7,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12591933-Reviews-Classy_Cozy_Hostel-Yerevan.html",7492,15," 3.0 ","Kond str. 8, Yerevan 0002, Armenia"
"Rp Hotel","Booking.com",2,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d8465555-Reviews-Rp_Hotel-Yerevan.html",9167,19," 2.5 ","Isakov admiral str. 9/2, Yerevan 0004, Armenia"
"Tetatet Hotel","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13310141-Reviews-Tetatet_Hotel-Yerevan.html",14992,31,NA,NA
"Voyage Hotel","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d8043455-Reviews-Voyage_Hotel-Yerevan.html",23810,49,NA,NA
"Arba Hotel","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12103369-Reviews-Arba_Hotel-Yerevan.html",10790,22," 1.0 ","Sevan Street 114/1, Yerevan 0026, Armenia"
"Afina Hotel","Booking.com",1,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10630374-Reviews-Afina_Hotel-Yerevan.html",14992,31," 1.0 ","Kanaker 1, 1, House 35, Yerevan 0002, Armenia"
"Bella Hotel","Expedia.com",3,1,0,0,0,0,0,1,"https://www.tripadvisor.com/Hotel_Review-g293932-d6635845-Reviews-Bella_Hotel-Yerevan.html",13742,28," 2.0 ","Kochar Yervand str. 6, Yerevan 0070, Armenia "
"Old Yerevan Hostel and Tours","Booking.com",5,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d11707421-Reviews-Old_Yerevan_Hostel_and_Tours-Yerevan.html",3325,7," 3.0 ","Paronyana str. 14/1, Yerevan 0015, Armenia"
"Baxos Hotel","Expedia.com",7,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d8262842-Reviews-Baxos_Hotel-Yerevan.html",17263,36," 2.0 ","Koryun str. 5, Yerevan 0025, Armenia"
"Palma Hotel","Booking.com",0,1,0,0,0,0,0,1,"https://www.tripadvisor.com/Hotel_Review-g293932-d8343641-Reviews-Palma_Hotel-Yerevan.html",15000,31,"","Adonts N. str. 13/3, Yerevan 0014, Armenia"
"Hotel Bastille","Booking.com",0,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12682451-Reviews-Hotel_Bastille-Yerevan.html",24367,50,"","Arghutyan St., 8/3, Yerevan 0012, Armenia"
"Arm Home","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13848431-Reviews-Arm_Home-Yerevan.html",5750,12,"","Glinka str. 9 | Dvukhetazhnyy Zdaniye, Yerevan 0005, Armenia "
"Art Guesthouse Qanaqer","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12381405-Reviews-Art_Guesthouse_Qanaqer-Yerevan.html",7075,15,"","24 Tbilisyan Highway, Yerevan 0091, Armenia"
"Bloor Hotel","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13951764-Reviews-Bloor_Hotel-Yerevan.html",10990,23,"","Keru 67, Yerevan 0028, Armenia "
"Bungalo Inn","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7608569-Reviews-Bungalo_Inn-Yerevan.html",13185,27,"","Koryun str. 5, Yerevan 0025, Armenia "
"Centrium","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13372780-Reviews-Centrium-Yerevan.html",9158,19,"","Tumanyan Street 15 Bldg. 2, Yerevan 0010, Armenia"
"Compote","Booking.com",0,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d14013442-Reviews-Compote-Yerevan.html",16658,34,"","Zarobyan YA. str. 38/1, Yerevan 0009, Armenia"
"Kamurj Apart Hotel","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d11768914-Reviews-Kamurj_Apart_Hotel-Yerevan.html",29158,60,"","Dzoragyugh Azgagrakana 21/1, Yerevan 0063, Armenia"
"Hostel de Maria","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12536159-Reviews-Hostel_de_Maria-Yerevan.html",24783,51,"","1 Alikhanian Street Blind Alley 1, Yerevan 0019, Armenia"
"Kond guest house","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d14905575-Reviews-Kond_guest_house-Yerevan.html",16658,34,"","Leo street, Yerevan 0002, Armenia "
"Hotel King","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10451796-Reviews-Hotel_King-Yerevan.html",16658,34,"","Sasuntsi David str. 76, Yerevan 0008, Armenia"
"Georgia Hotel","Booking.com",0,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d9786922-Reviews-Georgia_Hotel-Yerevan.html",9167,19,"","Ashtarak Highway, 6, Yerevan 2415, Armenia"
"Musa Ler Hotel","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13073612-Reviews-Musa_Ler_Hotel-Yerevan.html",18265,38,"","1/7 Davit-Bek Street, Yerevan 0008, Armenia"
"Palazzo Hotel","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12641855-Reviews-Palazzo_Hotel-Yerevan.html",18890,39,"","Tbilisyan Highway, 1st lane, building 10/1, Yerevan 0052, Armenia"
"MBM Hotel","Booking.com",0,0,1,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13965226-Reviews-MBM_Hotel-Yerevan.html",13325,28,"","Kochar Yervand str. 19/8, Yerevan 0070, Armenia "
"Hotel Amaras","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13397965-Reviews-Hotel_Amaras-Yerevan.html",12492,26,"","46 Tairov Street, Yerevan 0082, Armenia"
"Hotel Enjoy","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12428417-Reviews-Hotel_Enjoy-Yerevan.html",16658,34,"","33 Baghramyan Street, Yerevan 0082, Armenia"
"New-Regence","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10030882-Reviews-New_Regence-Yerevan.html",18000,37,"","10/1 Davit Anhaght St, Yerevan 0014, Armenia"
"Magnoliya Butik-Hostel","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13414751-Reviews-Magnoliya_Butik_Hostel-Yerevan.html",10825,22,NA,NA
"Homestay on Sose 17","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12385341-Reviews-Homestay_on_Sose_17-Yerevan.html",14990,31,"","Sosye str. 17, Yerevan 0019, Armenia"
"Masiv Hostel","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7063615-Reviews-Masiv_Hostel-Yerevan.html",8750,18,NA,NA
"Monaco Plaza","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13386060-Reviews-Monaco_Plaza-Yerevan.html",24992,52,"","Anastas Mikoyan 151/6, Yerevan 0054, Armenia"
"The Doctor's House B&B","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12319090-Reviews-The_Doctor_s_House_B_B-Yerevan.html",12492,26,"","Apt. 58 Aygyestan 11 str., Yerevan 0025, Armenia"
"Guesthouse Na Ulice Orbeli","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10544194-Reviews-Guesthouse_Na_Ulice_Orbeli-Yerevan.html",5825,12,NA,NA
"Noy Hostel Yerevan","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13359376-Reviews-Noy_Hostel_Yerevan-Yerevan.html",5825,12,"","House 41 Aygyestan 9 str., Yerevan 0025, Armenia"
"GS House","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12599122-Reviews-GS_House-Yerevan.html",5408,11,"","3 Badal Muradian Street, Yerevan 0015, Armenia"
"The Place by J","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12999501-Reviews-The_Place_by_J-Yerevan.html",9992,21,"","Flat 27 Movses Khorenatsi Street, Yerevan 0100, Armenia"
"Dom","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d14966245-Reviews-Dom-Yerevan.html",19990,41,"","Khachatryan 1st Lane | Verkhnii Les Aram, 9 House, Yerevan 0051, Armenia "
"Homey Guesthouse","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12842060-Reviews-Homey_Guesthouse-Yerevan.html",9990,21,"","12 Aygedzor Street, Yerevan 0019, Armenia"
"Karinitas Family Hostel","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10891048-Reviews-Karinitas_Family_Hostel-Yerevan.html",8324,17,"","Isahakyan Street 14 Apt 9, 2nd floor, Yerevan 0001, Armenia"
"Eger","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13982906-Reviews-Eger-Yerevan.html",14990,31,"","Davit-Bek Street 1/1, Yerevan 0008, Armenia "
"Fortune","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10817039-Reviews-Fortune-Yerevan.html",7492,15,"","Tairov Building 5, Yerevan 0082, Armenia"
"5. Element Hostel","Agoda.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12455033-Reviews-5_Element_Hostel-Yerevan.html",5741,12,"","Gai Avenue 57/1, Yerevan 0015, Armenia"
"Hostel in Yerevan","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d14888373-Reviews-Hostel_in_Yerevan-Yerevan.html",4158,9,"","Lisinyan str. 88, Yerevan 0005, Armenia "
