"Names","Clubs","GP","GS","MP","FS","FC","YC","RC","OFF","C","CK","PKG","PK"
"Umtiti Samuel  S.","BAR",25,24,2189,25,22,7,0,4,2,1,0,0
"Jozabed ","CEL",24,18,1483,10,15,7,0,2,10,1,0,0
"Diop Pape  P.","EIB",20,15,1206,25,35,7,0,0,5,0,0,0
"Lopez David  D.","ESP",37,37,3330,26,44,7,0,2,9,0,0,0
"Fajr Faycal  F.","GET",31,26,2383,37,47,7,0,1,137,55,0,1
"Mosquera Pedro  P.","DEP",23,16,1397,11,32,7,0,0,19,0,0,0
"Nacho ","RMD",27,22,2073,28,34,7,0,0,26,0,0,0
"Montoya Martin  M.","VAL",25,24,2152,27,38,7,0,1,69,0,0,0
"Joaquin ","BET",35,29,2487,41,20,7,0,5,106,60,0,0
"Griezmann Antoine  A.","ATL",32,30,2529,43,24,7,1,25,60,18,2,2
"Vrsaljko Sime  S.","ATL",21,19,1697,12,31,7,0,3,107,3,0,0
"Morales Jose Luis  J.","LEV",35,35,3065,43,28,7,0,9,173,20,3,3
"Juanpe ","GIR",35,34,3064,7,47,7,0,1,7,0,0,0
"Barragan Antonio  A.","BET",29,28,2377,19,51,7,0,4,103,1,0,0
"Espinosa Bernardo  B.","GIR",34,32,2868,16,41,7,0,3,5,0,0,0
"Guardado Andres  A.","BET",29,25,2266,39,31,7,0,2,89,42,1,1
"Calleri Jonathan  J.","LP",37,34,3111,75,70,7,0,39,49,0,5,5
"Hermoso Mario  M.","ESP",22,22,1929,16,19,7,1,1,3,2,0,0
"Wakaso Mubarak  M.","ALA",21,12,1097,22,32,7,0,3,39,4,0,0
"Garcia Javi  J.","BET",32,27,2410,34,32,7,0,1,0,0,0,0
"Paulista Gabriel  G.","VAL",30,29,2584,18,23,7,1,0,2,0,0,0
"Darder Sergi  S.","ESP",35,32,2788,32,36,7,0,0,69,22,0,0
"Amrabat Noureddine  N.","LGN",30,17,1620,36,53,7,1,24,73,3,0,0
"Galvez Alejandro  A.","LP",22,22,1979,19,35,6,1,5,4,0,0,0
"Alexis ","ALA",28,25,2184,14,20,6,0,2,10,0,0,0
"Vigaray Carlos  C.","ALA",12,9,893,14,18,6,0,0,18,0,0,0
"Martin Aaron  A.","ESP",32,31,2815,20,29,6,0,0,156,16,0,0
"Andone Florin  F.","DEP",29,16,1630,19,58,6,0,18,25,0,0,1
"Lemos Mauricio  M.",NA,16,14,1262,4,19,6,0,0,0,0,0,0
"Macedo Michel  M.","LP",28,26,2136,44,38,6,1,6,65,0,0,0
"Castro Chory  C.","MAG",26,26,2075,27,24,6,1,3,155,35,1,1
"Martinez Inigo  I.","ATH",28,28,2496,35,30,6,0,3,34,0,0,0
"Orellana Fabian  F.","EIB",17,13,1182,20,15,6,1,4,71,23,0,0
"Mario ","VIL",32,31,2805,14,45,6,0,3,78,0,0,0
"Gimenez Jose Maria  J.","ATL",23,17,1684,18,16,6,0,2,6,0,0,0
"Godin Diego  D.","ATL",30,28,2554,26,46,6,0,5,0,0,0,0
"Partey Thomas  T.","ATL",33,28,2379,35,40,6,0,0,22,5,0,0
"Savic Stefan  S.","ATL",27,26,2299,8,23,6,0,0,4,0,0,0
"Pires Gabriel  G.","LGN",29,28,2383,51,58,6,1,2,31,0,1,1
