"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
"Babel Ryan  R.",NA,11,5,559,4,1,7,13,3,0
"Ramos Adrian  A.","GRA",14,13,1131,4,1,13,22,4,0
"Inui Takashi  T.","EIB",28,26,2086,3,2,20,45,5,0
"Ramis Ivan  I.","EIB",22,20,1721,3,0,6,9,5,0
"Douglas ","GIJ",21,20,1718,3,0,5,15,6,0
"Turan Arda  A.","BAR",18,14,1243,3,3,5,14,1,0
"Orellana Fabian  F.","VAL",23,19,1665,3,3,12,26,7,1
"Wass Daniel  D.","CEL",32,29,2394,3,4,15,44,3,0
"Asensio Marco  M.","RMD",23,11,1076,3,2,12,25,0,0
"Perez Hernan  H.","ESP",32,20,1796,3,1,7,26,8,0
"Mosquera Pedro  P.","DEP",23,17,1558,3,0,4,10,7,0
"Momo ","LP",23,12,1240,3,0,5,12,3,0
"Charles ","MAG",21,11,1137,3,1,15,39,5,0
"Recio ","MAG",18,16,1358,3,2,8,15,9,0
"Jese ","LP",16,13,1159,3,1,19,35,5,0
"Kroos Toni  T.","RMD",29,28,2500,3,12,12,33,6,0
"Bautista Jon  J.","RSO",12,2,304,3,0,4,13,0,0
"Martinez Inigo  I.","RSO",34,34,2999,3,2,13,41,11,1
"Yuri ","RSO",35,35,3090,3,2,9,42,9,0
"Zurutuza ","RSO",31,29,2503,3,1,13,26,9,1
"Gomes Andre  A.","BAR",30,17,1591,3,1,7,20,3,0
"Soler Carlos  C.","VAL",23,19,1724,3,1,13,28,4,1
"Joaquin ","BET",28,19,1676,3,4,11,26,2,0
"Reyes ","ESP",21,10,863,3,4,6,14,1,0
"Filipe Luis ","ATL",34,34,3009,3,6,11,25,5,0
"Godin Diego  D.","ATL",31,30,2705,3,1,7,30,12,1
"Gaitan Nico  N.","ATL",23,11,1022,3,2,6,10,1,0
"Alegria Alex  A.","BET",25,15,1433,3,2,21,47,2,0
"Colak Emre  E.","DEP",33,29,2477,3,6,13,43,5,0
"Garcia Manu  M.","ALA",25,23,2013,3,1,7,24,8,0
"Jurado Jose Manuel  J.","ESP",31,27,2459,3,3,14,37,1,0
"Santos Michael  M.","MAG",14,8,738,3,0,9,22,3,0
"Bebe ","EIB",20,8,684,3,2,10,24,2,0
"Santos Christian  C.","ALA",21,8,831,3,1,10,22,2,0
"Sisto Pione  P.","CEL",30,19,1665,3,3,13,28,1,0
"Mercado Gabriel  G.","SEV",29,26,2185,3,1,6,12,10,0
"Camarasa Victor  V.","ALA",31,28,2502,3,1,9,32,4,0
"Suarez Mario  M.","VAL",21,17,1498,3,0,4,11,3,0
"Lopez David  D.","ESP",36,36,3240,3,2,10,17,3,0
"Katai Aleksandar  A.","ALA",20,8,769,3,3,8,21,3,0
"Canella ","GIJ",20,20,1756,2,1,2,11,4,0
"Cases Nacho  N.","GIJ",21,16,1472,2,1,4,10,6,0
"Jony ","MAG",24,15,1249,2,1,9,31,3,0
"Alvarez Sergio  S.","GIJ",36,34,3006,2,1,6,15,9,0
"Escalante Gonzalo  G.","EIB",30,24,2021,2,1,6,25,10,1
"Laporte Aymeric  A.","ATH",33,33,2865,2,0,6,17,10,0
"Lekue Inigo  I.","ATH",25,17,1573,2,1,5,20,1,0
"Viguera Borja  B.","GIJ",17,6,768,2,1,2,13,2,0
"Pique Gerard  G.","BAR",25,25,2192,2,0,9,20,6,0
"Vidal Aleix  A.","BAR",6,5,475,2,2,4,9,0,0
"Cabral Gustavo  G.","CEL",25,25,2179,2,1,8,17,6,0
"Mallo Hugo  H.","CEL",23,22,1987,2,1,6,14,10,1
"Burgui ","GIJ",32,21,1998,2,4,25,50,6,0
"Caicedo Felipe  F.","ESP",27,14,1287,2,1,6,16,5,1
"Araujo Sergio  S.",NA,11,5,530,2,1,10,17,2,0
"Gomez Vicente  V.","LP",29,28,2322,2,0,11,24,3,0
"Juan Carlos ","MAG",28,23,2063,2,4,8,15,8,1
"Juanpi ","MAG",22,16,1472,2,0,11,41,6,1
"Ontiveros Javi  J.","MAG",18,7,828,2,3,4,24,4,0
"Marcelo ","RMD",30,26,2277,2,10,4,25,2,0
"Nacho ","RMD",28,24,2302,2,3,5,8,4,0
"Pepe ","RMD",13,13,1081,2,1,2,5,1,0
"Vazquez Lucas  L.","RMD",33,12,1385,2,7,13,31,4,0
"Oyarzabal Mikel  M.","RSO",38,30,2725,2,7,17,59,0,0
"Adrian ","VIL",15,7,675,2,1,5,12,0,0
"Castillejo Samu  S.","VIL",33,24,2049,2,3,14,31,2,0
"Dos Santos Jonathan  J.","VIL",34,22,2206,2,3,9,40,4,0
"Cuenca Isaac  I.","GRA",25,18,1740,2,0,7,17,4,0
"Ibanez Rober  R.","LGN",5,1,168,2,1,3,9,0,0
"Lomban David  D.","GRA",21,20,1841,2,0,3,11,6,0
"Rico Fran  F.","EIB",17,13,1225,2,1,5,12,5,0
"Ceballos Dani  D.","BET",30,24,2336,2,2,17,38,8,0
"Montoya Martin  M.","VAL",29,26,2220,2,1,4,11,8,0
"Piccini Cristiano  C.","BET",23,21,1742,2,3,3,15,7,2
"N'Zonzi Steven  S.","SEV",35,34,3067,2,3,12,31,6,0
"Laguardia ","ALA",26,24,2149,2,1,4,9,6,0
