"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
"Digard Didier  D.","OSA",3,3,194,0,0,0,1,1,0
"Gimenez Dani  D.","BET",1,1,90,0,0,0,0,2,1
"Musonda Charly  C.",NA,8,1,278,0,1,2,6,2,0
"N'Diaye Alfred  A.",NA,7,1,112,0,1,0,1,1,0
"Ruiz Fabian  F.",NA,4,3,154,0,0,0,1,0,0
"Torres Xavi  X.","GIJ",17,8,858,0,0,3,6,6,0
"Carrico Daniel  D.","SEV",6,6,453,0,0,0,0,2,0
"Escudero Sergio  S.","SEV",26,25,2281,0,3,12,31,7,0
"Ferreira Mariano  M.","SEV",31,29,2643,0,2,3,9,9,0
"Gonzalez Diego  D.",NA,3,0,31,0,0,0,0,0,0
"Kolodziejczak Thimothee  T.",NA,5,3,329,0,0,0,2,1,0
"Krohn-Dehli Michael  M.","SEV",2,2,171,0,0,0,3,0,0
"Rami Adil  A.","SEV",21,21,1785,0,0,2,10,5,1
"Rico Sergio  S.","SEV",35,35,3150,0,0,0,0,0,0
"Soria David  D.","SEV",1,1,90,0,0,0,0,0,0
"Fernandez Augusto  A.","ATL",3,2,143,0,0,0,0,0,0
"Gabi ","ATL",34,33,2896,0,0,5,25,9,0
"Gimenez Jose  J.","ATL",17,12,1012,0,0,6,14,5,0
"Juanfran ","ATL",23,21,1978,0,2,1,2,2,0
"Kranevitter Matias  M.","SEV",21,14,1283,0,0,0,3,6,0
"Lucas ","ATL",15,13,1253,0,0,0,1,2,0
"Moya ","ATL",9,8,770,0,0,0,0,0,0
"Oblak Jan  J.","ATL",30,30,2650,0,0,0,0,1,0
"Martin Alberto  A.","LGN",16,14,1191,0,0,0,4,7,1
"Serantes Jon Ander  J.","LGN",13,13,1110,0,0,1,1,2,0
"Coentrao Fabio  F.","RMD",3,2,169,0,1,0,1,0,0
"Femenia Kiko  K.","ALA",31,28,2503,0,2,1,5,6,0
"Gama Bruno  B.","DEP",22,18,1452,0,0,8,27,3,0
"Valle Borja  B.",NA,7,1,202,0,0,1,4,0,0
"Tyton Przemyslaw  P.","DEP",13,12,1125,0,0,0,0,1,0
"Roberto ","ESP",4,3,307,0,0,0,0,0,0
"Lopes Helder  H.","LP",15,13,1225,0,1,0,6,4,0
"Kuzmanovic Zdravko  Z.","MAG",4,3,216,0,0,0,4,1,0
"Concha David  D.","RSO",8,1,110,0,0,0,2,0,0
"Gaztanaga Jon  J.","RSO",2,0,24,0,0,0,1,1,0
"Rivera Cristian  C.","EIB",17,6,711,0,0,2,7,3,0
"Tienza Fausto  F.","OSA",19,16,1231,0,0,5,8,8,0
"Arrizabalaga Kepa  K.","ATH",23,23,2016,0,0,0,0,1,0
"Bustinza Unai  U.","LGN",22,21,1790,0,1,3,13,10,0
"Moran Erik  E.","LGN",12,11,952,0,1,0,3,7,0
"Tito ","LGN",23,21,1878,0,3,0,7,4,0
"Vrsaljko Sime  S.","ATL",14,11,923,0,0,0,3,2,0
"Romero Jaime  J.","OSA",19,8,897,0,4,6,16,1,0
"Fernandez Mario  M.","OSA",7,7,585,0,0,0,0,3,0
"Flano Javi  J.","OSA",4,2,130,0,0,0,1,0,0
"Garcia Unai  U.","OSA",22,20,1870,0,0,1,8,4,0
"Tano ","OSA",11,9,734,0,1,0,0,3,1
"Garcia Raul  R.","ALA",18,14,1268,0,0,0,3,6,0
"Pacheco Fernando  F.","ALA",36,36,3240,0,0,0,0,1,0
"Bunuel Aitor  A.","OSA",15,10,1029,0,0,0,6,3,0
"Oier ","OSA",36,36,3150,0,2,2,7,11,0
"Otegui Antonio  A.","OSA",3,0,44,0,0,0,0,0,0
"Omar ","LGN",15,11,975,0,2,2,16,4,0
"Cerci Alessio  A.","ATL",1,0,14,0,0,0,0,0,0
"Costas David  D.",NA,1,1,90,0,1,0,0,1,0
"Asdrubal ",NA,3,0,31,0,0,0,0,0,0
"Tyronne ",NA,3,0,42,0,0,0,0,1,0
"Yoel ","EIB",25,22,2117,0,0,0,0,1,1
"Martinez Alex  A.","BET",14,11,967,0,0,3,8,2,0
"Toral Jon  J.",NA,5,4,268,0,0,0,0,2,0
"Digne Lucas  L.","BAR",17,14,1175,0,0,1,5,3,0
"Nauzet ","OSA",13,13,1170,0,0,0,0,1,0
"Gabriel Silva ",NA,12,11,977,0,0,0,1,3,0
"Macedo Michel  M.","LP",25,24,2086,0,4,1,10,5,0
"Sastre Lluis  L.",NA,1,1,90,0,0,0,0,0,0
"Afif Akram  A.","GIJ",9,2,230,0,0,1,1,2,0
"Torres Daniel  D.","ALA",21,17,1438,0,0,2,7,7,0
"De las Cuevas Miguel  M.","OSA",28,20,1795,0,1,7,22,3,0
"Brignoli Alberto  A.",NA,1,0,60,0,0,0,0,0,0
"Angban Victorien  V.","GRA",10,8,685,0,0,0,2,4,0
"Amorebieta Fernando  F.","GIJ",27,26,2221,0,1,2,9,17,0
"Jose Angel ","VIL",7,7,630,0,1,0,7,2,0
"Medjani Carl  C.",NA,8,7,594,0,0,0,3,2,0
"Zozulya Roman  R.","BET",6,1,152,0,0,1,3,1,0
"Castellano Javi  J.","LP",5,0,94,0,0,0,0,0,0
"Kone Bakary  B.","MAG",7,7,602,0,0,0,1,3,1
"Villanueva Mikel  M.","MAG",15,14,1264,0,0,3,4,4,0
"Alena Carles  C.","BAR",3,0,40,0,0,0,1,1,0
"Santos Marlon  M.","BAR",2,2,180,0,0,0,0,0,0
"Galvez Alejandro  A.","EIB",19,14,1327,0,0,2,5,4,0
"Yeray ","ATH",26,25,2270,0,0,2,12,3,0
"Espinoza Cristian  C.",NA,6,1,159,0,0,1,2,1,0
"Saunier Matthieu  M.","GRA",16,16,1310,0,1,0,0,4,0
"Moreno Marlos  M.","DEP",19,9,792,0,0,6,25,0,0
"Marino Diego  D.","GIJ",2,2,180,0,0,0,0,0,1
"Fernandez Pablo  P.","GIJ",2,0,20,0,0,0,1,0,0
"Rodriguez Juan  J.","GIJ",4,2,230,0,0,0,0,1,0
"Cantalapiedra Aitor  A.","VIL",1,0,3,0,0,0,0,0,0
"Suarez Leo  L.","VIL",3,0,16,0,0,0,1,0,0
"Demichelis Martin  M.","MAG",12,8,773,0,0,2,4,3,0
"Vigaray Carlos  C.","ALA",19,10,943,0,3,0,3,1,0
"Martins Luis  L.",NA,2,1,73,0,0,0,0,0,0
"Silva Gaston  G.","GRA",22,19,1748,0,0,1,5,6,0
"Garcia Imanol  I.","OSA",8,6,526,0,0,0,6,1,0
"Jose Carlos ","BET",6,6,498,0,0,0,0,0,0
"Gonzalez Mario  M.","VIL",2,0,23,0,0,0,0,0,0
"Martin Aaron  A.","ESP",30,28,2587,0,0,1,3,5,0
"Roca Marc  M.","ESP",25,14,1316,0,1,3,12,4,0
"Saborit Enric  E.","ATH",9,5,459,0,0,1,4,1,0
"Villar Ivan  I.","CEL",1,1,90,0,0,0,0,0,0
"Kone Mamadou  M.","LGN",5,1,169,0,0,1,3,0,0
"Cillessen Jasper  J.","BAR",1,1,90,0,0,0,0,0,0
"Sirigu Salvatore  S.","OSA",20,20,1798,0,0,0,0,1,1
"Riviere Emmanuel  E.","OSA",15,8,799,0,1,6,13,3,1
"Atzili Omer  O.","GRA",9,3,316,0,0,0,2,0,0
"Tabanou Franck  F.","GRA",6,6,367,0,0,1,2,3,0
"Boyko Denys  D.","MAG",3,3,270,0,0,0,0,0,0
"Alamo Javi  J.",NA,2,0,11,0,0,0,1,0,0
"Donk Ryan  R.","BET",16,9,854,0,1,0,4,3,0
"Lopez Diego  D.","ESP",35,35,3113,0,0,0,0,3,0
"Vazquez Alvaro  A.","ESP",10,2,313,0,1,1,5,0,0
"Areitio Markel  M.","EIB",1,0,45,0,0,0,0,0,0
"Fernandez Alvaro  A.","OSA",1,0,45,0,0,0,0,0,0
"Rodrigues Kevin  K.","RSO",2,1,103,0,0,0,3,1,0
"Hongla Martin  M.","GRA",10,8,793,0,0,1,4,2,0
"Munoz Luis  L.","MAG",5,4,381,0,0,0,1,0,0
"Melendo ","ESP",11,2,298,0,0,0,1,0,0
"Marquez Ivan  I.","OSA",4,4,360,0,1,0,0,4,0
"Barrios Diego  D.","LGN",1,0,61,0,0,0,0,0,0
"Champagne Nereo  N.","LGN",4,4,360,0,0,0,0,1,0
"Lenglet Clement  C.","SEV",17,15,1357,0,0,1,1,2,0
"Pinchi Oscar  O.","DEP",1,0,1,0,0,0,0,0,0
"Sanchez Ruben  R.","GIJ",2,0,39,0,0,0,2,0,0
"John Ola  O.","DEP",11,3,348,0,1,3,8,1,0
"Malle Aly  A.","GRA",11,6,505,0,0,4,7,1,0
"Romero Oscar  O.","ALA",13,4,528,0,1,10,24,3,0
"Kone Panagiotis  P.","GRA",2,0,42,0,0,0,0,0,0
"Exposito Erik  E.","LP",2,2,167,0,0,1,1,0,0
"Ramirez Benito  B.","LP",2,0,14,0,0,0,0,0,0
"Roef Davy  D.","DEP",1,1,90,0,0,0,0,0,0
"Tosca Alin  A.","BET",17,17,1503,0,0,0,2,2,0
"Montoya Walter  W.","SEV",4,1,109,0,0,0,2,0,0
"Vujadinovic Nikola  N.","OSA",10,10,789,0,0,4,5,0,0
"Rodriguez Jose  J.","MAG",6,6,456,0,0,2,2,2,1
"Loe Raoul  R.","OSA",7,6,569,0,0,2,4,2,0
"Estupinan Pervis  P.","GRA",2,2,180,0,0,1,1,1,0
"Guridi Jon  J.","RSO",1,1,75,0,0,0,0,0,0
"Exposito Edu  E.","DEP",1,1,45,0,0,0,1,0,0
"Perea Luis  L.","OSA",1,0,19,0,0,0,0,0,0
"Barja Kike  K.","OSA",1,0,16,0,0,0,0,0,0
"Entrena Juanan  J.",NA,3,1,103,0,0,2,6,0,0
"Jean Carlos ","GRA",1,0,29,0,0,0,1,0,0
"Entrena Juanan  J.","GRA",3,1,103,0,0,2,6,0,0
