"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
"Pérez Rubén ","LGN",31,29,2520,0,0,1,17,13,0
"Serantes Jon Ander ","LGN",1,1,90,0,0,0,0,0,0
"Tito ","LGN",9,6,607,0,0,0,1,0,0
"Koke ","LEV",1,1,90,0,0,0,0,0,1
"Moore Shaq ","LEV",6,5,424,0,0,2,3,0,0
"Hernández Héctor ","ALA",1,0,15,0,0,0,0,0,0
"López Pau ","ESP",29,28,2566,0,0,0,0,3,0
"Aketxe Ager ",NA,3,0,34,0,0,0,2,1,0
"Samper Sergi ",NA,2,2,145,0,0,0,0,0,0
"Pacheco Dani ","GET",11,0,165,0,0,0,1,0,0
"Valverde Fede ","DEP",24,12,1229,0,0,4,18,0,0
"Dmitrovic Marko ","EIB",36,36,3240,0,0,0,0,1,0
"Chichizola Leandro ","LP",27,27,2430,0,0,0,0,2,0
"Navarro Ximo ",NA,12,10,941,0,1,1,2,3,0
"Semedo Rúben ","VIL",4,3,231,0,0,0,1,0,0
"Olazábal Oier ","LEV",26,26,2340,0,0,0,0,2,0
"Werner Axel ","ATL",1,1,90,0,0,0,0,0,0
"Martínez Rubén ","DEP",28,27,2477,0,0,0,0,3,0
"Róber ","LEV",25,19,1904,0,0,1,8,4,0
"Araujo Sergio ",NA,2,0,37,0,0,0,2,0,0
"Vallejo Jesús ","RMD",7,7,630,0,0,0,0,0,0
"Cifuentes ",NA,2,1,107,0,0,0,0,0,0
"Maksimovic Nemanja ","VAL",15,6,551,0,0,2,7,1,0
"Vezo Rúben ","VAL",19,17,1554,0,0,1,3,3,1
"N'Diaye Alfred ",NA,2,1,100,0,0,0,0,0,0
"Diéguez Adrián ","ALA",6,6,436,0,0,0,3,5,0
"Guaita ","GET",33,33,2970,0,0,0,0,1,0
"Fernández Raúl ","LEV",11,11,990,0,0,0,0,0,0
"Lerma Jefferson ","LEV",26,25,2137,0,1,2,27,16,0
"López Iván ","LEV",3,3,175,0,1,0,1,0,0
"López Pedro ","LEV",21,18,1596,0,0,0,3,4,0
"Toño ","LEV",12,12,1080,0,1,1,2,2,0
"Bounou Yassine ","GIR",30,30,2655,0,0,0,0,2,0
"Ramalho Jonás ","GIR",26,25,2297,0,0,1,7,3,0
"Cuéllar Iván ","LGN",35,35,3150,0,0,0,0,4,0
"Lacen Mehdi ","MAG",19,12,1123,0,0,1,7,3,0
"Molinero ","GET",10,5,575,0,0,0,4,5,0
"Mora Sergio ","GET",26,6,799,0,0,0,6,5,0
"Barragán Antonio ","BET",29,28,2377,0,7,4,9,7,0
"Amat Jordi ","BET",25,24,2051,0,0,1,7,8,2
"Neto ","VAL",33,33,2970,0,0,0,1,2,0
"Espinosa Bernardo ","GIR",34,32,2868,0,3,4,25,7,0
"Maripán Guillermo ","ALA",19,17,1527,0,0,1,4,4,0
"Toledo Hernán ","LP",15,6,617,0,1,1,3,2,0
"Valentín Gerard ","DEP",3,2,158,0,0,0,2,0,0
"Corchia Sébastien ","SEV",12,9,823,0,1,3,5,4,0
"Semedo Nélson ","BAR",24,17,1495,0,0,2,3,1,0
"Lobotka Stanislav ","CEL",38,34,3061,0,0,2,8,2,0
"Oliveira Paulo ","EIB",26,25,2215,0,0,4,14,3,0
"Wakaso Mubarak ","ALA",21,12,1097,0,1,0,10,7,0
"Uzoho Francis ","DEP",2,2,180,0,0,0,0,0,0
"Herrera Borja ",NA,3,3,242,0,0,0,1,0,0
"González Fabio ","LP",1,1,65,0,0,0,0,1,0
"Soni Kevin ","GIR",2,0,17,0,0,0,0,0,0
"Antunes ","GET",34,31,2797,0,2,3,30,14,0
"Cecchini Emanuel ",NA,2,0,29,0,0,0,1,2,0
"De la Bella Alberto ","RSO",17,17,1529,0,1,1,5,4,0
"Maffeo Pablo ","GIR",33,32,2650,0,1,6,25,11,0
"Douglas Luiz ","GIR",15,1,295,0,0,5,10,4,0
"Moreno Marlos ",NA,2,0,28,0,0,0,0,0,0
"Martínez Emi ","GET",5,5,450,0,0,0,0,0,0
"Muñoz Ezequiel ","LGN",19,17,1407,0,1,2,5,2,0
"Naldo ","ESP",11,10,922,0,0,0,1,2,0
"Muniesa Marc ","GIR",13,13,1129,0,1,1,2,3,0
"Lukic Sasa ","LEV",16,12,996,0,1,1,2,4,0
"Kayode Olarenwaju ","GIR",12,2,375,0,1,3,7,2,0
"Mojica Johan ","GIR",30,22,2131,0,4,2,22,6,0
"Murillo Jeison ","VAL",17,15,1374,0,0,0,2,4,0
"Paulista Gabriel ","VAL",30,29,2584,0,0,4,16,7,1
"Navarro Ximo ","LP",31,29,2606,0,1,1,3,11,0
"Lasso Borja ",NA,1,1,54,0,0,0,0,0,0
"Narváez Juan José ",NA,7,4,304,0,0,0,3,0,0
"Chuca ","VIL",4,1,86,0,0,0,3,1,0
"Aquilani Alberto ","LP",21,15,1298,0,0,4,12,4,0
"Rolón Esteban ","MAG",8,6,421,0,0,1,4,1,0
"Vilà Dídac ","ESP",14,7,725,0,0,3,10,3,0
"Krkic Bojan ","ALA",13,4,436,0,0,4,5,0,0
"Carole Lionel ",NA,6,6,540,0,1,1,3,0,0
"Cabaco Erick ","LEV",14,12,1039,0,0,2,2,5,0
"Tannane Oussama ",NA,10,7,574,0,0,5,13,1,0
"Sánchez Sergio ","ESP",2,1,102,0,0,0,1,1,0
"Pantilimon Costel ",NA,6,6,540,0,0,0,0,0,0
"Geis Johannes ","SEV",14,7,670,0,1,1,6,0,0
"Montero Jefferson ",NA,4,0,55,0,0,0,0,0,0
"Gorosabel Andoni ","RSO",2,1,76,0,0,0,0,0,0
"Gracia Julio ","BET",2,0,21,0,0,0,1,0,0
"Barri ","GET",2,1,112,0,0,1,1,0,0
"Calderón Carlos ","GET",1,0,3,0,0,0,0,0,0
"Robles Álex ","MAG",1,1,90,0,0,0,0,0,0
"Hacen ","LEV",2,1,82,0,0,0,0,0,0
"Torres Ferran ","VAL",13,2,302,0,1,2,3,0,0
"Ruibal Aitor ",NA,2,0,7,0,0,0,0,0,0
"Miquel Ignasi ","MAG",20,20,1775,0,0,2,10,5,1
"López Víctor ","ALA",1,1,61,0,1,0,1,0,0
"Jairo ","LP",11,6,558,0,0,1,9,1,0
"Peñalba Gabriel ","LP",7,7,572,0,0,0,5,3,0
"Iturra Manuel ","MAG",20,18,1583,0,0,1,2,6,0
"Arana Guilherme ","SEV",3,2,192,0,0,0,0,0,0
"Mazan Robert ","CEL",2,1,82,0,0,1,2,0,0
"Arnaiz Jose ",NA,1,0,5,0,0,0,0,0,0
"One Aldo ","DEP",1,1,90,0,0,0,0,0,0
"Mina Yerry ","BAR",5,4,370,0,1,1,3,2,0
"Ndockyt Merveil ","GET",6,0,62,0,0,0,0,1,0
"Cabrera Leandro ","GET",9,8,720,0,0,1,2,3,0
"Aldawsari Salem ","VIL",1,0,33,0,0,0,0,1,0
"Almuwallad Fahad ",NA,2,0,25,0,0,0,0,0,0
"Koval Maksym ","DEP",2,2,122,0,0,0,0,0,1
"Aguirregaray Matías ","LP",15,14,1155,0,0,0,9,3,0
"Sierra Jaime ","LGN",2,0,26,0,0,0,0,0,0
"Etebo Oghenekaro ","LP",14,14,1215,0,1,3,20,3,0
"Success Isaac ","MAG",9,7,496,0,1,1,8,0,0
"Sadiku Armando ","LEV",6,4,267,0,0,2,5,1,0
"Lestienne Maxime ","MAG",12,8,671,0,1,1,10,1,0
"Boyé Lucas ","CEL",13,2,267,0,0,2,8,2,0
"Sánchez Carlos ","ESP",14,13,1123,0,0,0,4,3,0
"Flamini Mathieu ","GET",8,6,482,0,0,1,1,3,1
"Hernández Lucas ","ATL",27,24,2116,0,1,1,6,8,1
"Ezekiel Imoh ","LP",10,5,468,0,0,4,7,0,0
"Muntari Sulley ","DEP",8,6,408,0,0,1,4,3,0
"Duro Hugo ","GET",2,0,18,0,0,1,1,0,0
"Carlos Isaac ","ATL",1,1,64,0,0,0,1,1,0
"Regis Francesc ","EIB",1,0,1,0,0,0,0,0,0
"Aly ","LEV",1,1,78,0,0,0,0,0,0
"Rodríguez Iván ","MAG",1,0,19,0,0,0,0,1,0
"Molina Dani ","CEL",1,0,4,0,0,0,0,0,0
"Sané Arona ","ATL",1,0,64,0,0,1,1,0,0
"Redondo Alberto ","GET",1,1,90,0,0,0,0,0,0
"Rubio Miguel Ángel ","GET",1,0,28,0,0,0,0,0,0
"Alba David ","GET",1,1,62,0,0,0,0,0,0
"Mujaid ","DEP",2,1,105,0,0,0,0,0,0
"López Alberto ","MAG",1,0,45,0,0,0,0,0,0
"Cruz Juan ","MAG",1,0,6,0,0,0,0,0,0
"Lara José ","SEV",1,0,9,0,0,0,0,0,0
"Almuwallad Fahad ","LEV",2,0,25,0,0,0,0,0,0
