"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
"Deulofeu Gerard  G.",NA,10,5,503,1,1,4,8,1,0
"Iniesta Andres  A.","BAR",30,25,1842,1,2,6,16,1,0
"Rakitic Ivan  I.","BAR",35,31,2838,1,5,11,28,4,0
"Roberto Sergi  S.","BAR",30,24,2224,1,7,5,9,3,2
"Umtiti Samuel  S.","BAR",25,24,2189,1,0,5,9,7,0
"Vidal Aleix  A.","BAR",15,4,453,1,1,6,8,0,0
"Cabral Gustavo  G.","CEL",26,20,1890,1,1,2,10,5,0
"Gomez Sergi  S.","CEL",33,31,2682,1,0,2,15,3,0
"Lopez David  D.","ESP",37,37,3330,1,1,6,14,7,0
"Navarro Marc  M.","ESP",19,10,1105,1,0,5,20,3,0
"Albentosa Raul  R.","DEP",20,19,1749,1,0,2,11,5,0
"Fajr Faycal  F.","GET",31,26,2383,1,4,10,22,7,0
"Luisinho ","DEP",30,29,2622,1,1,4,16,11,0
"Sidnei ","DEP",21,21,1779,1,1,2,8,4,0
"Colak Emre  E.","DEP",26,17,1452,1,1,8,17,4,0
"Exposito Erik  E.","LP",10,4,462,1,0,2,9,0,0
"Garcia David  D.","LP",11,9,859,1,0,3,5,2,0
"Tana ","LP",24,16,1553,1,1,6,14,2,0
"Recio ","MAG",22,21,1841,1,2,4,26,11,1
"Rosales Roberto  R.","MAG",35,35,3125,1,0,6,18,10,0
"Modric Luka  L.","RMD",26,23,1976,1,6,9,35,3,0
"Bautista Jon  J.","RSO",11,1,172,1,0,3,6,0,0
"Granero Esteban  E.","ESP",25,11,1222,1,3,2,13,5,0
"Martinez Inigo  I.","ATH",28,28,2496,1,1,6,21,6,0
"Rodrigues Kevin  K.","RSO",20,18,1633,1,2,3,15,2,0
"Vela Carlos  C.",NA,13,2,373,1,0,4,11,0,0
"Zaldua Joseba  J.","LGN",30,29,2561,1,0,3,11,9,1
"Zubeldia Igor  I.","RSO",25,16,1578,1,2,3,20,3,0
"Soler Carlos  C.","VAL",33,27,2374,1,5,17,45,4,0
"Vidal Nacho  N.","VAL",7,5,446,1,0,2,3,1,0
"Rodri ","VIL",37,36,3228,1,3,10,31,8,0
"Castro Ruben  R.","BET",10,3,354,1,1,5,9,0,0
"Mandi Aissa  A.","BET",34,34,3025,1,0,2,14,9,1
"Correa Joaquin  J.","SEV",21,15,1198,1,1,6,24,5,0
"Krohn-Dehli Michael  M.","DEP",24,15,1266,1,1,3,13,2,0
"N'Zonzi Steven  S.","SEV",27,26,2215,1,2,5,22,2,0
"Filipe Luis ","ATL",20,19,1660,1,2,2,5,4,0
"Gimenez Jose Maria  J.","ATL",23,17,1684,1,1,2,12,6,0
"Mantovani ","LGN",14,10,1019,1,0,1,5,3,0
"Siovas Dimitrios  D.","LGN",24,24,2061,1,1,2,16,10,1
"Chema ","LEV",25,23,2017,1,1,3,7,8,1
"Vesga Mikel  M.","ATH",12,11,807,1,1,4,7,6,0
"Alejo Ivan  I.","EIB",22,14,1084,1,3,4,13,5,0
"Baysse Paul  P.",NA,15,13,1238,1,0,2,11,1,0
"Burgui ","ALA",23,12,1034,1,0,4,15,1,0
"Campana Jose  J.","LEV",35,33,2742,1,4,8,23,10,1
"Jason ","LEV",27,22,1792,1,2,10,33,2,0
"Postigo Sergio  S.","LEV",30,27,2426,1,0,2,6,6,0
"Alcala Pedro  P.","GIR",8,8,690,1,0,3,8,4,0
"Suarez Damian  D.","GET",33,33,2878,1,4,5,10,14,1
"Pizarro Guido  G.","SEV",24,19,1754,1,0,4,13,9,0
"Cordoba Inigo  I.","ATH",30,18,1457,1,1,4,18,3,0
"Nunez Unai  U.","ATH",33,33,2942,1,0,2,19,11,0
"Jimenez Alvaro  A.","GET",13,5,524,1,1,3,9,5,1
"Gumbau Gerard  G.","LGN",25,16,1431,1,0,6,17,8,0
"Hermoso Mario  M.","ESP",22,22,1929,1,0,4,10,7,1
"Fernandez Carlos  C.","SEV",2,2,139,1,0,2,5,0,0
"Shibasaki Gaku  G.","GET",22,12,1003,1,0,2,10,2,0
"Djene ","GET",36,36,3239,1,0,2,11,9,0
"Navas Jesus  J.","SEV",26,20,1762,1,0,5,21,2,0
"Garcia Aleix  A.","GIR",20,7,843,1,0,3,12,3,0
"Gonzalez Diego  D.","MAG",18,17,1432,1,0,2,13,5,0
"Doukoure Cheick  C.","LEV",19,12,1020,1,0,1,18,4,0
"Pina ","ALA",30,28,2392,1,0,3,13,8,0
"Arambarri Mauro  M.","GET",27,26,2135,1,2,3,21,10,1
"Garcia Javi  J.","BET",32,27,2410,1,0,1,11,7,0
"Olivera Mathias  M.","GET",3,1,102,1,0,1,1,0,0
"Francis ","BET",14,10,991,1,0,1,4,2,0
"Mendez Brais  B.","CEL",20,12,949,1,1,9,22,0,0
"Mor Emre  E.","CEL",23,4,650,1,2,5,12,4,0
"Darder Sergi  S.","ESP",35,32,2788,1,2,7,29,7,0
"Pereira Andreas  A.","VAL",23,12,1076,1,3,6,14,5,0
"Naranjo ","LGN",16,6,561,1,0,3,9,2,0
"Lomban David  D.","EIB",13,11,996,1,0,1,4,3,0
"Demirovic Ermedin  E.","ALA",3,2,181,1,1,3,6,0,0
"Martinez Roger  R.","VIL",8,2,226,1,0,3,11,1,0
"Coquelin Francis  F.","VAL",9,7,656,1,0,3,4,2,0
"Ideye Brown  B.","MAG",13,8,731,1,0,3,10,2,0
"Lozano Choco  C.","GIR",14,4,465,1,0,7,17,0,0
"Bartra Marc  M.","BET",16,16,1421,1,0,4,12,6,0
"Pazzini Giampaolo  G.","LEV",9,5,444,1,0,4,10,1,0
"Rochina Ruben  R.","LEV",5,1,148,1,0,1,7,0,1
"Moreno Hector  H.","RSO",8,8,720,1,0,4,8,1,0
"Bebe ",NA,9,3,361,0,1,1,9,0,0
"Capa ","EIB",33,25,2247,0,1,1,6,4,0
"Dos Santos Mauro  M.","LGN",14,10,981,0,0,2,2,3,0
"Garcia Dani  D.","EIB",32,32,2781,0,1,1,20,14,0
"Junca ","EIB",15,10,902,0,2,0,3,3,0
"Luna Antonio  A.","LEV",23,22,2021,0,2,1,5,5,0
"Nano ",NA,9,2,274,0,0,2,7,1,0
"Pedro Leon ","EIB",12,10,929,0,3,7,24,1,0
"Riesgo Asier  A.","EIB",1,1,90,0,0,0,0,0,0
"Rivera Cristian  C.",NA,7,2,241,0,0,0,1,0,0
"Sarriegi Imanol  I.","EIB",3,0,37,0,0,0,0,1,0
"Yoel ","EIB",1,1,90,0,0,0,0,0,0
"Amagat Eloi  E.","GIR",2,0,14,0,0,0,2,0,0
"Pons Pere  P.","GIR",31,30,2564,0,2,4,14,8,0
"Aguirregabiria Martin  M.","ALA",21,20,1829,0,4,1,3,4,0
"Garcia Raul  R.","LGN",19,15,1388,0,2,1,7,1,0
"Hernandez Theo  T.","RMD",13,10,961,0,0,2,2,1,0
"Katai Aleksandar  A.",NA,3,0,52,0,0,0,2,0,0
"Llorente Marcos  M.","RMD",13,5,540,0,0,0,6,1,0
"Pacheco Fernando  F.","ALA",38,37,3357,0,0,0,0,2,0
"Romero Oscar  O.",NA,5,2,248,0,0,2,8,0,0
"Torres Daniel  D.","ALA",18,14,1218,0,0,2,4,2,0
"Vigaray Carlos  C.","ALA",12,9,893,0,0,1,4,6,0
"Arrizabalaga Kepa  K.","ATH",30,30,2700,0,0,0,0,4,0
"Balenziaga ","ATH",18,18,1554,0,2,0,3,1,0
"Benat ","ATH",24,12,1115,0,2,3,13,3,0
"Boveda Eneko  E.","DEP",14,13,1191,0,1,0,0,3,0
"Iraizoz ","GIR",9,8,765,0,0,0,0,1,0
"Iturraspe Ander  A.","ATH",30,20,1903,0,0,1,6,7,0
"Laporte Aymeric  A.",NA,19,19,1710,0,1,2,8,5,0
"Lekue Inigo  I.","ATH",32,22,2104,0,1,5,18,3,0
"Lopez Andoni  A.","ATH",1,1,90,0,0,0,1,0,0
"Merino Sabin  S.","ATH",13,4,371,0,0,3,8,1,0
"Rico Mikel  M.","ATH",17,13,1170,0,0,1,13,2,0
"Saborit Enric  E.","ATH",19,16,1429,0,1,2,6,5,0
"Yeray ","ATH",8,7,675,0,0,0,1,2,0
"Cillessen Jasper  J.","BAR",1,1,90,0,0,0,0,0,0
"Digne Lucas  L.","BAR",12,8,702,0,2,1,2,2,0
"Gomes Andre  A.","BAR",16,6,629,0,0,0,7,1,0
"Mascherano Javier  J.",NA,7,6,541,0,0,0,0,0,0
"Ter Stegen Marc-Andre  M.","BAR",37,37,3330,0,0,0,0,0,0
"Vermaelen Thomas  T.","BAR",14,12,1018,0,1,2,3,3,0
"Fontas Andreu  A.","CEL",12,9,884,0,1,0,1,2,0
"Hjulsager Andrew  A.",NA,2,0,12,0,0,0,1,0,0
"Jozabed ","CEL",24,18,1483,0,4,5,18,7,0
"Mallo Hugo  H.","CEL",34,34,3004,0,5,8,23,12,0
"Planas Carles  C.","GIR",5,2,191,0,1,0,1,0,0
"Radoja Nemanja  N.","CEL",26,11,1097,0,1,2,4,3,0
"Roncaglia Facundo  F.","CEL",21,17,1492,0,0,1,4,2,0
"Ruben ","CEL",22,22,1942,0,0,0,0,3,1
"Alvarez Sergio  S.","CEL",17,16,1475,0,0,0,0,0,0
"Diop Pape  P.","EIB",20,15,1206,0,0,1,15,7,0
"Duarte Ruben  R.","ALA",24,24,2141,0,2,0,8,10,1
"Duarte Oscar  O.","ESP",11,11,990,0,0,0,3,1,0
"Fuego Javi  J.","VIL",28,23,1880,0,0,2,7,8,0
"Jurado Jose Manuel  J.","ESP",29,20,1506,0,3,2,13,1,0
"Lopez Diego  D.","ESP",10,10,854,0,0,0,0,1,0
"Lopez Javi  J.","ESP",14,12,967,0,0,0,3,4,0
"Martin Aaron  A.","ESP",32,31,2815,0,0,2,5,6,0
"Melendo ","ESP",18,6,680,0,1,3,8,1,0
"Prieto Andres  A.","MAG",4,4,360,0,0,0,0,0,0
"Perez Hernan  H.","ALA",14,5,510,0,0,2,8,3,0
"Roberto ","MAG",34,34,3060,0,0,0,1,0,0
"Roca Marc  M.","ESP",8,2,259,0,0,0,4,0,0
"Sanchez Victor  V.","ESP",30,29,2463,0,2,1,13,13,0
"Arribas Alejandro  A.",NA,3,3,270,0,0,0,2,0,0
"Exposito Edu  E.","DEP",3,0,94,0,0,0,0,1,0
"Gama Bruno  B.",NA,6,1,112,0,0,0,1,1,0
"Gil Carles  C.","DEP",10,6,478,0,1,2,10,0,0
"Guilherme ","DEP",31,31,2643,0,0,2,39,11,0
"Juanfran ","DEP",35,34,3058,0,1,7,24,3,0
"Mosquera Pedro  P.","DEP",23,16,1397,0,2,3,12,7,0
"Navarro Fernando  F.","DEP",15,11,1042,0,0,0,0,5,0
"Tyton Przemyslaw  P.","DEP",2,1,97,0,0,0,0,0,0
"Artiles Aythami  A.",NA,3,2,183,0,0,0,1,0,0
"Bigas ","LP",12,11,896,0,0,1,4,3,0
"Castellano Dani  D.","LP",24,23,2027,0,2,0,4,5,0
"Castellano Javi  J.","LP",23,17,1565,0,0,2,4,4,0
"Gomez Vicente  V.","LP",25,17,1525,0,0,0,15,3,0
"Hernan ",NA,7,4,351,0,0,2,6,1,0
"Lemos Mauricio  M.",NA,16,14,1262,0,0,2,16,6,0
"Lizoain Raul  R.","LP",11,11,990,0,0,0,0,0,0
"Macedo Michel  M.","LP",28,26,2136,0,1,3,6,6,1
"Mesa Roque  R.","SEV",7,4,342,0,0,0,1,2,0
"Momo ","LP",13,8,674,0,1,1,6,3,0
"Ramirez Benito  B.","LP",4,1,164,0,0,1,1,0,0
"Simon David  D.","LP",11,6,718,0,0,1,3,3,0
"Hernandez Luis  L.","MAG",36,36,3240,0,1,0,4,8,0
"Jony ",NA,5,1,214,0,0,2,5,1,0
"Juankar ","MAG",10,9,784,0,0,0,2,2,0
"Juanpi ","MAG",16,5,604,0,2,4,15,1,0
"Keko ","MAG",21,15,1217,0,2,5,18,3,0
"Kuzmanovic Zdravko  Z.","MAG",8,6,481,0,1,0,3,4,2
"Mula Alejandro  A.",NA,11,7,562,0,0,6,17,1,0
"Ontiveros Javi  J.",NA,12,1,380,0,0,3,8,4,0
"Penaranda Adalberto  A.","MAG",13,11,807,0,0,6,21,3,0
"Ramirez Sandro  S.","SEV",13,7,715,0,1,10,24,0,0
"Ricca Federico  F.","MAG",14,13,1111,0,1,3,5,4,0
"Torres Miguel  M.","MAG",8,8,675,0,0,0,2,3,0
"Carvajal Dani  D.","RMD",25,25,2223,0,2,6,13,11,1
"Casilla Kiko  K.","RMD",10,10,900,0,0,0,0,0,0
"Kovacic Mateo  M.","RMD",21,10,988,0,1,2,9,2,0
"Navas Keylor  K.","RMD",27,27,2430,0,0,0,0,1,0
"Varane Raphael  R.","RMD",27,27,2323,0,1,2,10,3,0
"Zidane Enzo  E.",NA,2,1,71,0,0,0,0,0,0
"Zidane Luca  L.","RMD",1,1,90,0,0,0,0,0,0
"Agirretxe ","RSO",11,2,223,0,0,2,6,0,0
"Guridi Jon  J.","RSO",4,0,50,0,0,0,0,0,0
"Martinez Carlos  C.","RSO",1,0,2,0,0,0,0,0,0
"Navas Raul  R.","RSO",20,20,1792,0,1,2,13,4,0
"Odriozola Alvaro  A.","RSO",35,32,2917,0,4,5,8,4,1
"Rulli Geronimo  G.","RSO",26,26,2340,0,0,0,0,3,0
"Tono ","RSO",4,3,315,0,0,0,0,0,0
"Zurutuza ","RSO",31,26,2248,0,2,3,14,2,0
"Bakkali Zakaria  Z.","DEP",23,10,906,0,0,6,25,5,0
"Cancelo Joao  J.",NA,1,1,90,0,0,2,4,0,0
"Domenech Jaume  J.","VAL",5,5,450,0,0,0,0,2,0
"Garay Ezequiel  E.","VAL",24,23,2030,0,0,1,6,5,0
"Gaya ","VAL",34,33,2917,0,3,3,14,11,0
"Gil Nacho  N.","LP",20,10,958,0,1,3,9,1,0
"Lato Toni  T.","VAL",16,9,798,0,1,0,1,4,0
"Montoya Martin  M.","VAL",25,24,2152,0,4,6,8,7,0
"Sivera Antonio  A.","ALA",1,1,63,0,0,0,0,0,0
"Asenjo Sergio  S.","VIL",23,23,2070,0,0,0,0,3,0
"Barbosa ","VIL",13,12,1125,0,0,0,0,0,0
"Bonera Daniele  D.","VIL",15,14,1190,0,1,0,2,4,1
"Costa Jaume  J.","VIL",30,29,2541,0,0,3,12,15,1
"Fernandez Andres  A.","VIL",3,3,225,0,0,0,0,0,0
"Gonzalez Mario  M.","VIL",2,0,16,0,0,0,1,0,0
"Guerra Ramiro  R.","VIL",4,0,67,0,0,0,0,1,0
"Cote Jose Angel  J.","EIB",30,28,2430,0,8,0,15,4,0
"Poveda Dario  D.","VIL",1,0,1,0,0,0,0,0,0
"Rukavina Antonio  A.","VIL",17,14,1269,0,0,0,2,5,0
"Soriano Roberto  R.","VIL",22,11,1135,0,0,6,20,3,0
"Suarez Leo  L.","VIL",1,0,28,0,0,0,1,0,0
"Torres Pau  P.","VIL",2,0,51,0,0,0,0,0,0
"Alvaro ","VIL",33,32,2899,0,2,3,15,15,1
"Adan ","BET",30,30,2700,0,2,0,0,4,0
"Alegria Alex  A.","LEV",9,8,632,0,0,2,15,0,0
"Bruno ","GET",20,17,1538,0,0,0,4,5,0
"Gimenez Dani  D.","BET",4,4,309,0,0,0,0,0,0
"Leiva Nahuel  N.",NA,7,3,249,0,0,1,2,2,0
"Lopez Pedro  P.","BET",5,4,411,0,0,0,0,0,0
"Navarro Rafa  R.","BET",3,1,133,0,0,1,1,0,0
"Pardo Ruben  R.","RSO",6,3,223,0,1,0,1,0,1
"Tosca Alin  A.",NA,6,5,424,0,0,0,2,0,0
"Carrico Daniel  D.","SEV",6,5,459,0,0,0,2,1,0
"Escudero Sergio  S.","SEV",27,26,2332,0,2,4,19,10,0
"Mercado Gabriel  G.","SEV",26,25,2122,0,1,7,18,9,0
"Montoya Walter  W.",NA,1,1,77,0,0,0,1,0,0
"Pareja Nico  N.","SEV",5,5,405,0,0,0,3,2,0
"Rico Sergio  S.","SEV",24,23,2155,0,0,0,0,2,0
"Soria David  D.","SEV",15,15,1265,0,0,0,0,1,0
"Fernandez Augusto  A.",NA,5,1,105,0,0,0,1,1,0
