"Names","Clubs","GP","GS","MP","TT","P","INT","BLK","GMB","TKL","OFF","C","CK"
"Rico Sergio  S.","SEV",24,23,2155,1111,342,0,0,0,0,0,0,0
"Guerrero ","LGN",22,15,1438,1100,255,7,18,0,5,12,3,0
"Lukic Sasa  S.","LEV",16,12,996,1088,287,16,21,0,12,0,8,1
"Gomes Andre  A.","BAR",16,6,629,1086,317,6,6,0,10,3,4,0
"Asenjo Sergio  S.","VIL",23,23,2070,1080,275,2,0,0,0,0,0,0
"Enrich Sergi  S.","EIB",19,14,1330,1043,253,7,11,0,7,20,7,1
"Vila Didac  D.","ESP",14,7,725,1043,321,10,22,0,23,1,33,2
"Vesga Mikel  M.","ATH",12,11,807,1042,319,13,12,0,7,0,14,5
"Beauvue Claudio  C.","LGN",28,17,1670,1020,173,5,13,0,3,17,16,0
"Bakambu Cedric  C.",NA,15,15,1269,1007,194,4,11,0,4,11,18,0
"Duarte Oscar  O.","ESP",11,11,990,998,357,11,10,0,8,0,1,0
"Shibasaki Gaku  G.","GET",22,12,1003,985,254,14,14,0,11,5,31,15
"Guidetti John  J.","ALA",25,15,1338,984,242,9,12,0,1,11,23,1
"Timor David  D.","GIR",17,10,922,982,359,15,18,0,7,0,4,0
"Charles ","EIB",30,18,1580,974,238,8,9,0,5,11,10,0
"Lomban David  D.","EIB",13,11,996,965,352,31,11,0,10,1,0,0
"Vietto Luciano  L.","VAL",20,9,795,963,219,5,10,0,7,8,14,0
"Szymanowski Alexander  A.","LGN",13,13,1064,963,215,6,25,0,7,8,46,9
"Garcia David  D.","LP",11,9,859,954,372,3,23,0,13,0,5,0
"Naldo ","ESP",11,10,922,947,341,20,14,0,10,1,1,0
"Corchia Sebastien  S.","SEV",12,9,823,941,286,2,28,0,9,3,24,0
"Penalba Gabriel  G.","LP",7,7,572,917,306,7,13,0,3,0,1,0
"Juankar ","MAG",10,9,784,907,324,15,19,0,14,1,26,0
"Deulofeu Gerard  G.",NA,10,5,503,906,226,9,4,0,7,4,29,14
"Tannane Oussama  O.",NA,10,7,574,906,185,2,5,0,9,1,34,21
"Mantovani ","LGN",14,10,1019,891,275,28,14,0,17,0,0,0
"Doukoure Cheick  C.","LEV",19,12,1020,875,262,13,21,0,24,0,4,0
"Torres Fernando  F.","ATL",27,7,966,864,143,7,2,0,5,10,9,0
"Lato Toni  T.","VAL",16,9,798,860,316,5,29,0,15,1,18,0
"Coquelin Francis  F.","VAL",9,7,656,848,264,12,13,0,17,1,6,0
"Carole Lionel  L.",NA,6,6,540,844,292,14,16,0,7,0,13,0
"Mora Sergio  S.","GET",26,6,799,843,295,19,13,0,16,0,6,0
"Melendo ","ESP",18,6,680,838,214,4,4,0,1,0,9,2
"Bergara Markel  M.","GET",18,18,1469,837,267,35,13,0,21,2,6,0
"Gil Carles  C.","DEP",10,6,478,836,189,3,8,0,0,0,13,7
"Boateng Emmanuel  E.","LEV",25,10,1270,832,123,10,11,0,4,9,7,0
"Moron Loren  L.","BET",15,12,1064,825,118,1,20,0,6,5,4,0
"Vela Carlos  C.",NA,13,2,373,818,167,2,3,0,7,2,22,11
"Vigaray Carlos  C.","ALA",12,9,893,817,248,15,7,0,14,0,18,0
"Ganso ","SEV",8,7,524,811,283,6,4,0,7,0,6,4
"Gameiro Kevin  K.","ATL",25,11,1119,809,169,3,16,0,6,12,7,0
"Bruno ","GET",20,17,1538,807,236,48,19,0,14,2,0,0
"Kuzmanovic Zdravko  Z.","MAG",8,6,481,805,290,8,2,0,1,0,3,0
"Geis Johannes  J.","SEV",14,7,670,797,308,6,17,0,11,0,13,1
"Ramirez Sandro  S.","SEV",13,7,715,789,192,6,3,0,4,5,25,9
"Sansone Nicola  N.","VIL",18,5,627,781,173,4,1,0,3,9,28,9
"Perez Hernan  H.","ALA",14,5,510,778,147,0,12,0,13,3,30,8
"Vallejo Jesus  J.","RMD",7,7,630,767,305,18,8,0,8,1,1,0
"Toledo Hernan  H.","LP",15,6,617,764,113,6,2,0,3,3,30,0
"Cabaco Erick  E.","LEV",14,12,1039,761,237,27,16,0,20,0,2,0
"Mula Alejandro  A.",NA,11,7,562,760,154,6,4,0,3,2,26,2
"Lestienne Maxime  M.","MAG",12,8,671,740,155,6,8,0,7,1,39,6
"Juanpi ","MAG",16,5,604,739,171,4,9,0,4,0,18,7
"Ontiveros Javi  J.",NA,12,1,380,738,116,6,5,0,4,0,24,4
"Marti Roger  R.","LEV",17,10,962,728,129,3,9,0,7,5,15,0
"Mina Yerry  Y.","BAR",5,4,370,711,223,1,9,0,2,1,0,0
"Dos Santos Mauro  M.","LGN",14,10,981,708,220,7,21,0,7,2,3,0
"Maksimovic Nemanja  N.","VAL",15,6,551,694,218,16,15,0,13,0,8,0
"Vidal Aleix  A.","BAR",15,4,453,662,213,6,7,0,4,2,13,4
"Moya ","RSO",9,9,765,653,214,0,0,0,0,0,0,0
"Baston Borja  B.","MAG",20,8,977,647,163,2,5,0,3,9,6,0
"Lizoain Raul  R.","LP",11,11,990,643,239,0,1,0,0,0,0,0
"Success Isaac  I.","MAG",9,7,496,632,87,2,5,0,7,6,19,0
"Soria David  D.","SEV",15,15,1265,624,192,4,0,0,0,0,0,0
"Tito ","LGN",9,6,607,624,212,5,16,0,9,0,15,0
"Alcala Pedro  P.","GIR",8,8,690,618,202,22,9,0,5,2,4,0
"Mesa Roque  R.","SEV",7,4,342,616,206,2,8,0,5,0,2,1
"Jimenez Alvaro  A.","GET",13,5,524,604,82,9,8,0,5,0,19,0
"Torres Miguel  M.","MAG",8,8,675,601,249,9,15,0,9,2,6,0
"Sanabria Tony  T.","BET",17,8,847,601,118,3,4,0,3,8,3,0
"Naranjo ","LGN",16,6,561,583,115,8,15,0,6,2,18,8
"Cabrera Leandro  L.","GET",9,8,720,580,148,26,17,0,20,1,24,0
"Barbosa ","VIL",13,12,1125,579,162,0,0,0,0,0,0,0
"Hernan ",NA,7,4,351,577,212,1,3,0,10,0,3,1
"Herrerin Iago  I.","ATH",8,8,720,567,122,0,1,0,1,0,0,0
"Carrico Daniel  D.","SEV",6,5,459,566,195,16,9,0,5,0,0,0
"Molinero ","GET",10,5,575,564,189,18,15,0,6,0,14,0
"Pareja Nico  N.","SEV",5,5,405,555,189,2,11,0,10,0,1,0
"Krkic Bojan  B.","ALA",13,4,436,555,100,4,2,0,1,3,3,0
"Ezekiel Imoh  I.","LP",10,5,468,553,95,3,7,0,2,2,18,0
"Moore Shaq  S.","LEV",6,5,424,550,170,12,5,0,11,0,12,0
"Alcacer Paco  P.","BAR",17,8,694,547,183,6,9,0,3,7,10,3
"Fernandez Raul  R.","LEV",11,11,990,536,79,0,0,0,0,0,0,0
"Ideye Brown  B.","MAG",13,8,731,528,93,3,2,0,0,8,4,0
"Tosca Alin  A.",NA,6,5,424,511,188,8,7,0,4,0,8,0
"Vidal Nacho  N.","VAL",7,5,446,503,177,3,14,0,11,0,6,0
"Valle Borja  B.","DEP",17,3,474,502,99,1,4,0,0,6,8,0
"Lozano Choco  C.","GIR",14,4,465,501,73,4,4,0,3,4,13,0
"Bebe ",NA,9,3,361,498,77,2,2,0,2,3,47,7
"Jairo ","LP",11,6,558,493,99,5,5,0,5,3,13,0
"Douglas Luiz ","GIR",15,1,295,489,110,3,3,0,7,0,9,3
"Alegria Alex  A.","LEV",9,8,632,476,99,6,4,0,3,5,2,0
"Herrera Borja  B.",NA,3,3,242,473,153,2,4,0,1,0,14,0
"Boye Lucas  L.","CEL",13,2,267,470,89,3,6,0,5,0,12,0
"Casilla Kiko  K.","RMD",10,10,900,455,164,1,0,0,0,0,0,0
"Narvaez Juan Jose  J.",NA,7,4,304,453,141,8,4,0,8,0,5,0
"Lopez Diego  D.","ESP",10,10,854,439,92,0,0,0,0,0,0,0
"Campbell Joel  J.","BET",8,2,209,439,82,0,2,0,2,0,6,0
"Dieguez Adrian  A.","ALA",6,6,436,433,136,9,11,0,15,0,2,0
"Leiva Nahuel  N.",NA,7,3,249,426,97,5,2,0,1,0,6,0
"Lopez Pedro  P.","BET",5,4,411,409,127,0,0,0,0,0,0,0
"Roca Marc  M.","ESP",8,2,259,405,142,1,5,0,9,0,1,1
"Iraizoz ","GIR",9,8,765,393,90,1,0,0,0,0,0,0
"Etxeita ","ATH",5,5,377,392,132,11,5,0,2,0,1,0
"Rivera Cristian  C.",NA,7,2,241,380,115,2,1,0,4,0,1,0
"Torres Ferran  F.","VAL",13,2,302,374,75,3,3,0,9,0,16,1
"Muntari Sulley  S.","DEP",8,6,408,363,113,6,13,0,9,0,8,0
"Jony ",NA,5,1,214,362,49,1,2,0,1,0,31,9
"Mayoral Borja  B.","RMD",14,3,338,354,92,1,2,0,3,7,1,0
"Garcia Samu  S.","MAG",18,4,358,352,75,5,9,0,10,1,7,0
"Olunga Michael  M.","GIR",14,4,427,350,65,3,3,0,2,7,4,0
"Pardo Ruben  R.","RSO",6,3,223,329,105,1,5,0,1,0,9,5
"Rolon Esteban  E.","MAG",8,6,421,328,95,14,4,0,4,0,1,0
"Bueno Alberto  A.","MAG",11,1,217,321,78,3,2,0,1,1,5,0
"Exposito Erik  E.","LP",10,4,462,316,54,1,4,0,3,2,3,0
"Merino Sabin  S.","ATH",13,4,371,314,65,4,5,0,7,3,5,0
"Flamini Mathieu  M.","GET",8,6,482,312,97,9,5,0,8,0,5,0
"Santos Christian  C.","ALA",10,5,433,295,74,1,5,0,2,2,2,0
"Arana Guilherme  G.","SEV",3,2,192,295,106,10,3,0,1,0,3,0
"Romero Oscar  O.",NA,5,2,248,290,44,3,3,0,3,0,13,3
"Pacheco Dani  D.","GET",11,0,165,285,64,0,4,0,1,0,19,6
"Pantilimon Costel  C.",NA,6,6,540,285,77,0,0,0,0,0,0,0
"Rochina Ruben  R.","LEV",5,1,148,277,60,1,2,0,6,0,5,0
"Arribas Alejandro  A.",NA,3,3,270,272,97,5,4,0,0,0,0,0
"Marin Adrian  A.","VIL",3,2,233,258,86,3,4,0,7,0,2,0
"Gaitan Nico  N.",NA,6,1,216,251,72,2,2,0,4,1,10,5
"Martinez Emi  E.","GET",5,5,450,249,40,0,0,0,0,0,0,0
"Domenech Jaume  J.","VAL",5,5,450,247,86,0,0,0,0,0,0,0
"Pazzini Giampaolo  G.","LEV",9,5,444,245,35,0,2,0,0,5,4,0
"Navarro Rafa  R.","BET",3,1,133,244,72,2,1,0,1,0,3,0
"Tono ","RSO",4,3,315,243,77,0,0,0,0,0,0,0
"Moran Erik  E.",NA,6,2,225,243,84,1,8,0,0,0,2,0
"Kayode Olarenwaju  O.","GIR",12,2,375,230,34,4,3,0,1,5,5,0
"Martinez Roger  R.","VIL",8,2,226,230,45,1,0,0,3,1,5,0
"Semedo Ruben  R.","VIL",4,3,231,224,76,5,3,0,4,0,0,0
"Ramirez Benito  B.","LP",4,1,164,217,42,0,2,0,2,0,20,4
"Planas Carles  C.","GIR",5,2,191,216,77,1,4,0,3,0,9,0
"Lopez Ivan  I.","LEV",3,3,175,215,74,14,3,0,3,0,12,0
"Gimenez Dani  D.","BET",4,4,309,212,65,0,0,0,0,0,0,0
"Nano ",NA,9,2,274,210,35,1,4,0,2,5,1,0
"Artiles Aythami  A.",NA,3,2,183,204,82,1,4,0,2,0,0,0
"Samper Sergi  S.",NA,2,2,145,201,68,0,0,0,6,0,2,0
"Fernandez Augusto  A.",NA,5,1,105,200,60,4,5,0,0,0,1,0
"Prieto Andres  A.","MAG",4,4,360,188,31,1,0,0,0,0,0,0
"Cifuentes ",NA,2,1,107,186,63,4,1,0,0,0,12,0
"Sadiku Armando  A.","LEV",6,4,267,183,45,0,5,0,1,2,2,0
"Mazan Robert  R.","CEL",2,1,82,180,71,1,0,0,2,0,3,0
"Valentin Gerard  G.","DEP",3,2,158,179,42,0,2,0,0,0,1,0
"Castro Ruben  R.","BET",10,3,354,172,50,0,1,0,0,6,1,0
"Chuca ","VIL",4,1,86,163,38,1,2,0,0,0,9,6
"Agirretxe ","RSO",11,2,223,157,37,0,0,0,0,1,2,0
"Cancelo Joao  J.",NA,1,1,90,153,26,2,2,0,1,0,9,0
"Gama Bruno  B.",NA,6,1,112,149,29,0,0,0,1,0,5,3
"Fernandez Andres  A.","VIL",3,3,225,130,35,0,0,0,0,0,0,0
"Bautista Jon  J.","RSO",11,1,172,129,25,0,0,0,1,1,1,0
"Demirovic Ermedin  E.","ALA",3,2,181,129,15,5,4,0,1,2,2,0
"Exposito Edu  E.","DEP",3,0,94,127,48,1,2,0,2,0,1,0
"Gorosabel Andoni  A.","RSO",2,1,76,124,43,1,2,0,2,0,3,0
"Aketxe Ager  A.",NA,3,0,34,115,31,0,2,0,0,0,6,3
"Gonzalez Fabio  F.","LP",1,1,65,111,37,0,1,0,2,0,0,0
"Lopez Andoni  A.","ATH",1,1,90,107,38,2,4,0,0,0,3,0
"Aly ","LEV",1,1,78,107,36,1,3,0,4,0,3,0
"N'Diaye Alfred  A.",NA,2,1,100,104,34,4,2,0,4,0,0,0
"Lasso Borja  B.",NA,1,1,54,96,28,0,2,0,0,0,0,0
"Ndockyt Merveil  M.","GET",6,0,62,95,11,2,2,0,0,0,1,0
"Mujaid ","DEP",2,1,105,92,36,0,6,0,1,0,1,0
"Champagne Nereo  N.","LGN",2,2,180,91,14,0,0,0,0,0,0,0
"Montero Jefferson  J.",NA,4,0,55,89,8,0,0,0,1,0,8,0
"Zidane Enzo  E.",NA,2,1,71,84,16,0,0,0,2,0,0,0
"Sanchez Sergio  S.","ESP",2,1,102,83,30,1,3,0,3,0,2,0
"Yoel ","EIB",1,1,90,82,3,0,0,0,0,0,0,0
"Montoya Walter  W.",NA,1,1,77,81,14,0,0,0,0,1,1,0
"Koval Maksym  M.","DEP",2,2,122,81,21,0,0,0,0,0,0,0
"Carlos Isaac ","ATL",1,1,64,81,35,0,1,0,0,0,1,0
"Uzoho Francis  F.","DEP",2,2,180,80,11,0,0,0,0,0,0,0
"Olivera Mathias  M.","GET",3,1,102,80,9,4,4,0,1,0,2,0
"Fernandez Carlos  C.","SEV",2,2,139,78,25,0,1,0,0,0,2,0
"Hacen ","LEV",2,1,82,78,25,0,2,0,2,0,0,0
"Guerra Ramiro  R.","VIL",4,0,67,74,19,1,3,0,0,0,1,0
"Torres Pau  P.","VIL",2,0,51,73,19,1,2,0,1,0,0,0
"Robles Alex  A.","MAG",1,1,90,70,22,4,2,0,1,0,1,0
"Gracia Julio  J.","BET",2,0,21,67,19,1,0,0,0,0,1,0
"Aldawsari Salem  S.","VIL",1,0,33,67,16,0,0,0,1,1,0,0
"Lopez Victor  V.","ALA",1,1,61,66,6,3,2,0,0,1,6,0
"Guridi Jon  J.","RSO",4,0,50,62,18,0,1,0,1,0,0,0
"Sarriegi Imanol  I.","EIB",3,0,37,60,20,2,1,0,0,0,0,0
"Katai Aleksandar  A.",NA,3,0,52,60,8,0,0,1,0,1,0,0
"Barri ","GET",2,1,112,59,13,1,1,0,2,0,0,0
"Redondo Alberto  A.","GET",1,1,90,59,15,1,2,0,3,0,1,0
"Sane Arona  A.","ATL",1,0,64,58,8,0,1,0,0,0,0,0
"Mozo Alex  A.","LGN",1,0,45,55,14,1,0,0,1,0,0,0
"Cecchini Emanuel  E.",NA,2,0,29,55,16,1,1,0,1,0,0,0
"One Aldo  A.","DEP",1,1,90,55,18,4,0,0,1,0,0,0
"Zidane Luca  L.","RMD",1,1,90,54,26,0,0,0,0,0,0,0
"Koke ","LEV",1,1,90,54,12,0,0,0,0,0,0,0
"Serantes Jon Ander  J.","LGN",1,1,90,53,5,0,0,0,0,0,0,0
"Araujo Sergio  S.",NA,2,0,37,53,17,0,0,0,2,0,0,0
"Cillessen Jasper  J.","BAR",1,1,90,51,21,0,0,0,0,0,0,0
"Riesgo Asier  A.","EIB",1,1,90,47,5,0,0,0,0,0,0,0
"Suarez Leo  L.","VIL",1,0,28,47,9,0,0,0,0,1,1,0
"Arribas Sergio  S.","LGN",1,0,22,45,10,0,1,0,0,0,0,0
"Lopez Alberto  A.","MAG",1,0,45,42,17,3,0,0,1,0,1,0
"Tyton Przemyslaw  P.","DEP",2,1,97,39,13,0,0,0,0,0,0,0
"Soni Kevin  K.","GIR",2,0,17,35,4,0,0,0,1,0,0,0
"Amagat Eloi  E.","GIR",2,0,14,34,9,0,1,0,0,0,1,0
"Hjulsager Andrew  A.",NA,2,0,12,31,6,0,1,0,0,0,1,0
"Rodriguez Ivan  I.","MAG",1,0,19,28,10,0,0,0,0,0,0,0
"Werner Axel  A.","ATL",1,1,90,27,1,0,0,0,0,0,0,0
"Alba David  D.","GET",1,1,62,26,7,0,0,0,0,0,0,0
"Sivera Antonio  A.","ALA",1,1,63,25,2,0,0,0,0,0,0,0
"Gonzalez Mario  M.","VIL",2,0,16,25,2,0,1,0,0,1,1,0
"Almuwallad Fahad  F.",NA,2,0,25,24,7,0,0,0,0,0,0,0
"Almuwallad Fahad  F.","LEV",2,0,25,24,7,0,0,0,0,0,0,0
"Duro Hugo  H.","GET",2,0,18,23,5,0,0,0,0,0,0,0
"Lara Jose  J.","SEV",1,0,9,23,4,0,0,0,0,0,0,0
"Ruibal Aitor  A.",NA,2,0,7,20,4,0,0,0,0,0,0,0
"Sierra Jaime  J.","LGN",2,0,26,16,3,0,1,0,0,0,0,0
"Rubio Miguel Angel  M.","GET",1,0,28,16,3,0,0,0,0,0,0,0
"Arnaiz Jose  J.",NA,1,0,5,15,3,0,0,0,1,0,0,0
"Cruz Juan  J.","MAG",1,0,6,11,4,0,0,0,0,0,0,0
"Martinez Carlos  C.","RSO",1,0,2,10,3,0,0,0,0,0,0,0
"Poveda Dario  D.","VIL",1,0,1,10,1,0,0,0,1,0,0,0
"Hernandez Hector  H.","ALA",1,0,15,8,2,0,1,0,0,0,0,0
"Moreno Marlos  M.",NA,2,0,28,8,1,0,1,0,0,0,0,0
"Calderon Carlos  C.","GET",1,0,3,6,2,0,0,0,1,0,0,0
"Molina Dani  D.","CEL",1,0,4,5,2,0,0,0,0,0,0,0
"Moya Toni  T.","ATL",1,0,2,2,1,0,0,0,0,0,0,0
"Regis Francesc  F.","EIB",1,0,1,2,0,0,0,0,1,0,0,0
